# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
23100 46.2 -5.05151e-15 773.757 -6.52856e-18
23200 46.4 -5.05151e-15 773.757 -6.52856e-18
23300 46.6 -5.05151e-15 773.757 -6.52856e-18
23400 46.8 -5.05151e-15 773.757 -6.52856e-18
23500 47 -5.05151e-15 773.757 -6.52856e-18
23600 47.2 -5.05151e-15 773.757 -6.52856e-18
23700 47.4 -5.05151e-15 773.757 -6.52856e-18
23800 47.6 -5.05151e-15 773.757 -6.52856e-18
23900 47.8 -5.05151e-15 773.757 -6.52856e-18
24000 48 -5.05151e-15 773.757 -6.52856e-18
24100 48.2 -5.05151e-15 773.757 -6.52856e-18
24200 48.4 -5.05151e-15 773.757 -6.52856e-18
24300 48.6 -5.05151e-15 773.757 -6.52856e-18
24400 48.8 -5.05151e-15 773.757 -6.52856e-18
24500 49 -5.05151e-15 773.757 -6.52856e-18
24600 49.2 -5.05151e-15 773.757 -6.52856e-18
24700 49.4 -5.05151e-15 773.757 -6.52856e-18
24800 49.6 -5.05151e-15 773.757 -6.52856e-18
24900 49.8 -5.05151e-15 773.757 -6.52856e-18
25000 50 -5.05151e-15 773.757 -6.52856e-18
25100 50.2 -5.05151e-15 773.757 -6.52856e-18
25200 50.4 -5.05151e-15 773.757 -6.52856e-18
25300 50.6 -5.05151e-15 773.757 -6.52856e-18
25400 50.8 -5.05151e-15 773.757 -6.52856e-18
25500 51 -5.05151e-15 773.757 -6.52856e-18
25600 51.2 -5.05151e-15 773.757 -6.52856e-18
25700 51.4 -5.05151e-15 773.757 -6.52856e-18
25800 51.6 -5.05151e-15 773.757 -6.52856e-18
25900 51.8 -5.05151e-15 773.757 -6.52856e-18
26000 52 -5.05151e-15 773.757 -6.52856e-18
26100 52.2 -5.05151e-15 773.757 -6.52856e-18
26200 52.4 -5.05151e-15 773.757 -6.52856e-18
26300 52.6 -5.05151e-15 773.757 -6.52856e-18
26400 52.8 -5.05151e-15 773.757 -6.52856e-18
26500 53 -5.05151e-15 773.757 -6.52856e-18
26600 53.2 -5.05151e-15 773.757 -6.52856e-18
26700 53.4 -5.05151e-15 773.757 -6.52856e-18
26800 53.6 -5.05151e-15 773.757 -6.52856e-18
26900 53.8 -5.05151e-15 773.757 -6.52856e-18
