# Time-averaged data for fix log_x
# TimeStep v_E_x v_s_x
10349 0.263288 807.371
10350 0.263288 807.371
10351 0.263288 807.371
10352 0.263288 807.371
10353 0.263288 807.371
10354 0.263288 807.371
10355 0.263288 807.371
10356 0.263288 807.371
10357 0.263288 807.371
10358 0.263288 807.371
10359 0.263288 807.371
10360 0.263288 807.371
10361 0.263288 807.371
10362 0.263288 807.371
10363 0.263288 807.371
10364 0.263288 807.371
10365 0.263288 807.371
10366 0.263288 807.371
10367 0.263288 807.371
10368 0.263288 807.371
10369 0.263288 807.371
10370 0.263288 807.371
10371 0.263288 807.371
10372 0.263288 807.371
10373 0.263288 807.371
10374 0.263288 807.371
10375 0.263288 807.37
10376 0.263288 807.37
10377 0.263288 807.37
10378 0.263288 807.37
10379 0.263288 807.37
10380 0.263288 807.37
10381 0.263288 807.37
10382 0.263288 807.37
10383 0.263288 807.37
10384 0.263288 807.37
10385 0.263288 807.37
10386 0.263288 807.37
10387 0.263288 807.37
10388 0.263288 807.37
10389 0.263288 807.37
10390 0.263288 807.37
10391 0.263288 807.37
10392 0.263288 807.37
10393 0.263288 807.37
10394 0.263288 807.37
10395 0.263288 807.37
10396 0.263288 807.37
10397 0.263288 807.37
10398 0.263288 807.37
10399 0.263288 807.37
10400 0.263288 807.37
10401 0.263288 807.37
10402 0.263288 807.37
10403 0.263288 807.37
10404 0.263288 807.37
10405 0.263288 807.37
10406 0.263288 807.37
10407 0.263288 807.37
10408 0.263288 807.37
10409 0.263288 807.37
10410 0.263288 807.37
10411 0.263288 807.37
10412 0.263288 807.37
10413 0.263288 807.37
10414 0.263288 807.37
10415 0.263288 807.37
10416 0.263288 807.37
10417 0.263288 807.37
10418 0.263288 807.37
10419 0.263288 807.37
10420 0.263288 807.37
10421 0.263288 807.37
10422 0.263288 807.37
10423 0.263288 807.37
10424 0.263288 807.37
10425 0.263288 807.37
10426 0.263288 807.37
10427 0.263288 807.37
10428 0.263288 807.37
10429 0.263288 807.37
10430 0.263288 807.37
10431 0.263288 807.37
10432 0.263288 807.37
10433 0.263288 807.37
10434 0.263288 807.37
10435 0.263288 807.37
10436 0.263288 807.37
10437 0.263288 807.37
10438 0.263288 807.37
10439 0.263288 807.37
10440 0.263288 807.37
10441 0.263288 807.37
10442 0.263288 807.37
10443 0.263288 807.37
10444 0.263288 807.37
10445 0.263288 807.37
10446 0.263288 807.37
10447 0.263288 807.37
10448 0.263288 807.37
10449 0.263288 807.37
10450 0.263288 807.37
10451 0.263288 807.37
10452 0.263288 807.37
10453 0.263288 807.37
10454 0.263288 807.37
10455 0.263288 807.37
10456 0.263288 807.37
10457 0.263288 807.37
10458 0.263288 807.37
10459 0.263288 807.37
10460 0.263288 807.37
10461 0.263288 807.37
10462 0.263288 807.37
10463 0.263288 807.37
10464 0.263288 807.37
10465 0.263288 807.37
10466 0.263288 807.37
10467 0.263288 807.37
10468 0.263288 807.37
10469 0.263288 807.37
10470 0.263288 807.37
10471 0.263288 807.37
10472 0.263288 807.37
10473 0.263288 807.37
10474 0.263288 807.37
10475 0.263288 807.37
10476 0.263288 807.37
10477 0.263288 807.37
10478 0.263288 807.37
10479 0.263288 807.37
10480 0.263288 807.37
10481 0.263288 807.37
10482 0.263288 807.37
10483 0.263288 807.37
10484 0.263288 807.37
10485 0.263288 807.37
10486 0.263288 807.37
10487 0.263288 807.37
10488 0.263288 807.37
10489 0.263288 807.37
10490 0.263288 807.37
10491 0.263288 807.37
10492 0.263288 807.37
10493 0.263288 807.37
10494 0.263288 807.37
10495 0.263288 807.37
10496 0.263288 807.37
10497 0.263288 807.37
10498 0.263288 807.37
10499 0.263288 807.369
10500 0.263288 807.369
10501 0.263288 807.369
10502 0.263288 807.369
10503 0.263288 807.369
10504 0.263288 807.369
10505 0.263288 807.369
10506 0.263288 807.369
10507 0.263288 807.369
10508 0.263288 807.369
10509 0.263288 807.369
10510 0.263288 807.369
10511 0.263288 807.369
10512 0.263288 807.369
10513 0.263288 807.369
10514 0.263288 807.369
10515 0.263288 807.369
10516 0.263288 807.369
10517 0.263288 807.369
10518 0.263288 807.369
