# Time-averaged data for fix logger
# TimeStep c_Fsum c_Tglob
150400 790586 0.958097
150600 785499 0.956861
150800 792199 0.95487
151000 790059 0.963173
151200 797226 0.950643
151400 795332 0.960696
151600 798806 0.94861
151800 792678 0.962148
152000 796892 0.961279
152200 794202 0.955345
152400 804995 0.954892
152600 802414 0.963021
152800 799306 0.961107
153000 796231 0.960058
153200 803559 0.96851
153400 803340 0.964794
153600 796024 0.962664
153800 799958 0.970181
154000 795099 0.971592
154200 805450 0.97258
154400 793821 0.979794
154600 801606 0.968469
154800 805158 0.972235
155000 805719 0.980438
155200 806488 0.976085
155400 809554 0.97126
155600 808904 0.983035
155800 803718 0.98382
156000 810495 0.977887
156200 811882 0.978104
156400 802433 0.990256
156600 806546 0.97873
156800 816454 0.983763
157000 817948 0.978867
157200 810324 0.982991
157400 814793 0.988727
157600 810505 0.985573
157800 813262 0.987599
158000 811757 0.990447
158200 817913 0.999242
158400 810534 0.991611
158600 812130 0.993013
158800 811464 1.0041
159000 817953 0.992348
159200 821895 0.997269
159400 827327 0.991123
159600 820116 0.994937
159800 818097 1.00427
160000 822039 0.999929
160200 817286 1.00709
160400 821087 1.00223
160600 815242 1.00091
160800 820029 1.00718
161000 825173 0.996626
161200 823562 1.01373
161400 820077 1.00895
161600 812863 1.01332
161800 829386 1.01244
162000 824602 1.0082
162200 827259 1.00804
162400 828669 1.01767
162600 822330 1.00722
162800 824652 1.01294
163000 825813 1.01853
163200 827934 1.02738
163400 824465 1.01522
163600 830070 1.01874
163800 841107 1.02459
164000 825498 1.02248
164200 834646 1.01882
164400 831462 1.03292
164600 827786 1.02332
164800 828414 1.02422
165000 838128 1.02779
165200 840111 1.02891
165400 831969 1.0269
165600 839494 1.02526
165800 837829 1.03249
166000 830830 1.031
166200 837583 1.03373
166400 838883 1.03328
166600 831602 1.03552
166800 836466 1.03583
167000 833179 1.04003
167200 833141 1.03696
167400 828271 1.03304
167600 836010 1.04114
167800 837340 1.0422
168000 840677 1.03364
168200 847121 1.04045
168400 843919 1.04316
168600 844612 1.03581
168800 845725 1.05085
169000 848104 1.04078
169200 852288 1.04515
169400 848599 1.05089
169600 840440 1.04122
169800 848636 1.04946
170000 845924 1.05219
170200 845865 1.04863
170400 852626 1.0516
170600 853869 1.05136
170800 849093 1.05731
171000 849685 1.04926
171200 853415 1.06169
171400 852335 1.0461
171600 847137 1.05808
171800 857379 1.05789
172000 852884 1.0651
172200 858808 1.05517
172400 858756 1.06582
172600 854953 1.06151
172800 846372 1.05901
173000 858523 1.06261
173200 858662 1.06721
173400 860202 1.066
173600 850513 1.06496
173800 866102 1.06769
174000 862270 1.06291
174200 856734 1.07468
174400 862327 1.0755
174600 854854 1.06834
174800 867541 1.07249
175000 866487 1.07119
175200 869001 1.07946
175400 860465 1.07136
175600 872736 1.0789
175800 863002 1.07957
176000 868349 1.08643
176200 866158 1.08553
176400 865069 1.07859
176600 874150 1.08579
176800 861368 1.0856
177000 868003 1.08519
177200 865047 1.08834
177400 872600 1.09
177600 866602 1.09508
177800 867933 1.08439
178000 880133 1.08707
178200 872753 1.08706
178400 870574 1.08515
178600 871925 1.09911
178800 871814 1.08826
179000 877008 1.09371
179200 881034 1.09489
179400 886375 1.09927
179600 874720 1.09215
179800 883372 1.09327
180000 884872 1.10851
180200 877901 1.09735
180400 875700 1.09908
180600 877669 1.10694
180800 882442 1.11245
181000 875303 1.10951
181200 882775 1.10476
181400 885491 1.11297
181600 879371 1.10769
181800 879823 1.11009
182000 896770 1.11209
182200 891806 1.11258
182400 886230 1.10878
182600 880766 1.10881
182800 886349 1.12075
183000 886219 1.10719
183200 886413 1.12294
183400 885429 1.11113
183600 885105 1.11722
183800 889302 1.1188
184000 888515 1.11478
184200 893088 1.12636
184400 892565 1.11815
184600 890204 1.12423
184800 893210 1.13457
185000 887901 1.12595
185200 892897 1.12729
185400 900629 1.12708
185600 889779 1.11976
185800 894043 1.13115
186000 897712 1.12898
186200 890633 1.1254
186400 895241 1.13623
186600 895596 1.12371
186800 894590 1.13529
187000 896136 1.13886
187200 898205 1.14221
187400 896912 1.12903
187600 897579 1.1408
187800 903427 1.13816
188000 893854 1.13966
188200 904045 1.152
188400 904531 1.13692
188600 905274 1.14823
188800 904502 1.1424
189000 902631 1.14159
189200 903972 1.14833
189400 906437 1.14764
189600 904087 1.14652
189800 908309 1.14386
190000 902413 1.1477
190200 916423 1.15296
190400 899042 1.1525
190600 902385 1.15803
190800 910813 1.15336
191000 915668 1.16068
191200 904572 1.15482
191400 906737 1.15612
191600 915649 1.15545
191800 904627 1.16548
192000 906098 1.15819
192200 916146 1.16207
192400 910596 1.16075
192600 901540 1.16429
192800 917016 1.16152
193000 908736 1.16709
193200 903653 1.16389
193400 919107 1.16713
193600 916541 1.17193
193800 919722 1.17118
194000 921152 1.16183
194200 919911 1.18099
194400 917445 1.16005
194600 918538 1.17815
194800 916765 1.16685
195000 916717 1.1721
195200 928229 1.16705
195400 932378 1.18801
195600 920442 1.17287
195800 925140 1.18121
196000 922997 1.18843
196200 909493 1.183
196400 919283 1.18599
196600 921474 1.18773
196800 920597 1.17069
197000 917492 1.18856
197200 920858 1.18428
197400 927513 1.19449
197600 922583 1.18668
197800 930078 1.18218
198000 929325 1.19296
198200 935117 1.17675
198400 926355 1.19278
198600 937676 1.1907
198800 929812 1.18942
199000 941224 1.19965
199200 922642 1.19346
199400 927002 1.20349
199600 928070 1.19754
199800 933528 1.19099
200000 942346 1.19804
200200 934280 1.19206
200400 934840 1.20581
200600 933212 1.20631
200800 939710 1.19804
201000 948928 1.20515
