# Time-averaged data for fix log_y
# TimeStep v_E_y v_s_y
30332 0.26329 2122.74
30333 0.26329 2122.74
30334 0.26329 2122.74
30335 0.26329 2122.74
30336 0.26329 2122.74
30337 0.26329 2122.74
30338 0.26329 2122.74
30339 0.26329 2122.74
30340 0.26329 2122.74
30341 0.26329 2122.74
30342 0.26329 2122.74
30343 0.26329 2122.74
30344 0.26329 2122.74
30345 0.26329 2122.74
30346 0.26329 2122.74
30347 0.26329 2122.74
30348 0.26329 2122.74
30349 0.26329 2122.74
30350 0.26329 2122.74
30351 0.26329 2122.74
30352 0.26329 2122.74
30353 0.26329 2122.74
30354 0.26329 2122.74
30355 0.26329 2122.74
30356 0.26329 2122.74
30357 0.26329 2122.74
30358 0.26329 2122.74
30359 0.26329 2122.74
30360 0.26329 2122.74
30361 0.26329 2122.74
30362 0.263289 2122.74
30363 0.263289 2122.74
30364 0.263289 2122.74
30365 0.263289 2122.74
30366 0.263289 2122.74
30367 0.263289 2122.74
30368 0.263289 2122.74
30369 0.263289 2122.74
30370 0.263289 2122.74
30371 0.263289 2122.74
30372 0.263289 2122.74
30373 0.263289 2122.74
30374 0.263289 2122.74
30375 0.263289 2122.74
30376 0.263289 2122.74
30377 0.263289 2122.74
30378 0.263289 2122.74
30379 0.263289 2122.74
30380 0.263289 2122.74
30381 0.263289 2122.74
30382 0.263289 2122.74
30383 0.263289 2122.74
30384 0.263289 2122.74
30385 0.263289 2122.74
30386 0.263289 2122.74
30387 0.263289 2122.74
30388 0.263289 2122.74
30389 0.263289 2122.74
30390 0.263289 2122.74
30391 0.263289 2122.74
30392 0.263289 2122.74
30393 0.263289 2122.74
30394 0.263289 2122.74
30395 0.263289 2122.74
30396 0.263289 2122.74
30397 0.263289 2122.74
30398 0.263289 2122.74
30399 0.263289 2122.74
30400 0.263289 2122.74
30401 0.263289 2122.74
30402 0.263289 2122.74
30403 0.263289 2122.74
30404 0.263289 2122.74
30405 0.263289 2122.74
30406 0.263289 2122.74
30407 0.263289 2122.74
30408 0.263289 2122.74
30409 0.263289 2122.74
30410 0.263289 2122.74
30411 0.263289 2122.74
30412 0.263289 2122.73
30413 0.263289 2122.73
30414 0.263289 2122.73
30415 0.263289 2122.73
30416 0.263289 2122.73
30417 0.263289 2122.73
30418 0.263289 2122.73
30419 0.263289 2122.73
30420 0.263289 2122.73
30421 0.263289 2122.73
30422 0.263289 2122.73
30423 0.263289 2122.73
30424 0.263289 2122.73
30425 0.263289 2122.73
30426 0.263289 2122.73
30427 0.263289 2122.73
30428 0.263289 2122.73
30429 0.263289 2122.73
30430 0.263289 2122.73
30431 0.263289 2122.73
30432 0.263289 2122.73
30433 0.263289 2122.73
30434 0.263289 2122.73
30435 0.263289 2122.73
30436 0.263289 2122.73
30437 0.263289 2122.73
30438 0.263289 2122.73
30439 0.263289 2122.73
30440 0.263289 2122.73
30441 0.263289 2122.73
30442 0.263289 2122.73
30443 0.263289 2122.73
30444 0.263289 2122.73
30445 0.263289 2122.73
30446 0.263289 2122.73
30447 0.263289 2122.73
30448 0.263289 2122.73
30449 0.263289 2122.73
30450 0.263289 2122.73
30451 0.263289 2122.73
30452 0.263289 2122.73
30453 0.263289 2122.73
30454 0.263289 2122.73
30455 0.263289 2122.73
30456 0.263289 2122.73
30457 0.263289 2122.73
30458 0.263289 2122.73
30459 0.263289 2122.73
30460 0.263289 2122.73
30461 0.263289 2122.73
30462 0.263289 2122.73
30463 0.263289 2122.73
30464 0.263289 2122.73
30465 0.263289 2122.73
30466 0.263289 2122.73
30467 0.263289 2122.73
30468 0.263289 2122.73
30469 0.263289 2122.73
30470 0.263289 2122.73
30471 0.263289 2122.73
30472 0.263289 2122.73
30473 0.263289 2122.73
30474 0.263289 2122.73
30475 0.263289 2122.73
30476 0.263289 2122.73
30477 0.263289 2122.73
30478 0.263289 2122.73
30479 0.263289 2122.73
30480 0.263289 2122.73
30481 0.263289 2122.73
30482 0.263289 2122.73
30483 0.263289 2122.73
30484 0.263289 2122.73
30485 0.263289 2122.73
30486 0.263289 2122.73
30487 0.263289 2122.73
30488 0.263289 2122.73
30489 0.263289 2122.73
30490 0.263289 2122.73
30491 0.263289 2122.73
30492 0.263289 2122.73
30493 0.263289 2122.73
30494 0.263289 2122.73
30495 0.263289 2122.73
30496 0.263289 2122.73
30497 0.263289 2122.73
30498 0.263289 2122.73
30499 0.263289 2122.73
30500 0.263289 2122.73
30501 0.263289 2122.73
30502 0.263289 2122.73
30503 0.263289 2122.73
