# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
6520 3.26 -3.27516e-15 738.343 -4.43582e-18
6530 3.265 -3.27516e-15 738.343 -4.43582e-18
6540 3.27 -3.27516e-15 738.343 -4.43582e-18
6550 3.275 -3.27516e-15 738.343 -4.43582e-18
6560 3.28 -3.27516e-15 738.343 -4.43582e-18
6570 3.285 -3.27516e-15 738.343 -4.43582e-18
6580 3.29 -3.27516e-15 738.343 -4.43582e-18
6590 3.295 -3.27516e-15 738.343 -4.43582e-18
6600 3.3 -3.27516e-15 738.343 -4.43582e-18
6610 3.305 -3.27516e-15 738.343 -4.43582e-18
6620 3.31 -3.27516e-15 738.343 -4.43582e-18
6630 3.315 -3.27516e-15 738.343 -4.43582e-18
6640 3.32 -3.27516e-15 738.343 -4.43582e-18
6650 3.325 -3.27516e-15 738.343 -4.43582e-18
6660 3.33 -3.27516e-15 738.343 -4.43582e-18
6670 3.335 -3.27516e-15 738.343 -4.43582e-18
6680 3.34 -3.27516e-15 738.343 -4.43582e-18
6690 3.345 -3.27516e-15 738.343 -4.43582e-18
6700 3.35 -3.27516e-15 738.343 -4.43582e-18
6710 3.355 -3.27516e-15 738.343 -4.43582e-18
6720 3.36 -3.27516e-15 738.343 -4.43582e-18
6730 3.365 -3.27516e-15 738.343 -4.43582e-18
6740 3.37 -3.27516e-15 738.343 -4.43582e-18
6750 3.375 -3.27516e-15 738.343 -4.43582e-18
6760 3.38 -3.27516e-15 738.343 -4.43582e-18
6770 3.385 -3.27516e-15 738.343 -4.43582e-18
6780 3.39 -3.27516e-15 738.343 -4.43582e-18
6790 3.395 -3.27516e-15 738.343 -4.43582e-18
6800 3.4 -3.27516e-15 738.343 -4.43582e-18
6810 3.405 -3.27516e-15 738.343 -4.43582e-18
6820 3.41 -3.27516e-15 738.343 -4.43582e-18
6830 3.415 -3.27516e-15 738.343 -4.43582e-18
6840 3.42 -3.27516e-15 738.343 -4.43582e-18
6850 3.425 -3.27516e-15 738.343 -4.43582e-18
6860 3.43 -3.27516e-15 738.343 -4.43582e-18
6870 3.435 -3.27516e-15 738.343 -4.43582e-18
6880 3.44 -3.27516e-15 738.343 -4.43582e-18
6890 3.445 -3.27516e-15 738.343 -4.43582e-18
6900 3.45 -3.27516e-15 738.343 -4.43582e-18
6910 3.455 -3.27516e-15 738.343 -4.43582e-18
6920 3.46 -3.27516e-15 738.343 -4.43582e-18
6930 3.465 -3.27516e-15 738.343 -4.43582e-18
6940 3.47 -3.27516e-15 738.343 -4.43582e-18
6950 3.475 -3.27516e-15 738.343 -4.43582e-18
6960 3.48 -3.27516e-15 738.343 -4.43582e-18
6970 3.485 -3.27516e-15 738.343 -4.43582e-18
6980 3.49 -3.27516e-15 738.343 -4.43582e-18
6990 3.495 -3.27516e-15 738.343 -4.43582e-18
7000 3.5 -3.27516e-15 738.343 -4.43582e-18
7010 3.505 -3.27516e-15 738.343 -4.43582e-18
7020 3.51 -3.27516e-15 738.343 -4.43582e-18
7030 3.515 -3.27516e-15 738.343 -4.43582e-18
7040 3.52 -3.27516e-15 738.343 -4.43582e-18
7050 3.525 -3.27516e-15 738.343 -4.43582e-18
7060 3.53 -3.27516e-15 738.343 -4.43582e-18
7070 3.535 -3.27516e-15 738.343 -4.43582e-18
7080 3.54 -3.27516e-15 738.343 -4.43582e-18
7090 3.545 -3.27516e-15 738.343 -4.43582e-18
7100 3.55 -3.27516e-15 738.343 -4.43582e-18
7110 3.555 -3.27516e-15 738.343 -4.43582e-18
7120 3.56 -3.27516e-15 738.343 -4.43582e-18
7130 3.565 -3.27516e-15 738.343 -4.43582e-18
7140 3.57 -3.27516e-15 738.343 -4.43582e-18
7150 3.575 -3.27516e-15 738.343 -4.43582e-18
7160 3.58 -3.27516e-15 738.343 -4.43582e-18
