# Time-averaged data for fix log
# TimeStep v_P v_V v_E
65600 2.22694 6402.13 0.00622917
65800 2.43962 6395.24 0.00660105
66000 2.33469 6393.08 0.00639286
66200 2.26979 6393.04 0.00632826
66400 2.25067 6392.66 0.00628089
66600 2.32701 6392.37 0.00640258
66800 2.38698 6392.5 0.00656446
67000 2.33562 6393.6 0.00648422
67200 2.36474 6394.85 0.00645802
67400 2.24924 6395.18 0.00630768
67600 2.27881 6391.9 0.00632988
67800 2.2561 6384.78 0.00633509
68000 2.4383 6375.27 0.00656207
68200 2.48226 6365.7 0.00673783
68400 2.5112 6360 0.00678543
68600 2.49754 6357.52 0.00672837
68800 2.39345 6355.54 0.0066092
69000 2.37875 6352.61 0.00655768
69200 2.42532 6348.06 0.00669968
69400 2.41718 6343.79 0.00664484
69600 2.58836 6340.13 0.00684811
69800 2.51585 6338.53 0.00675646
70000 2.51463 6337.46 0.00678365
70200 2.5468 6334.94 0.00684044
70400 2.47514 6331.03 0.00677536
70600 2.59171 6325.54 0.00689402
70800 2.57451 6320.72 0.00695322
71000 2.52474 6316.86 0.00684689
71200 2.45472 6311.76 0.00667835
71400 2.50612 6304 0.00671116
71600 2.6357 6295.59 0.00705419
71800 2.66108 6289.74 0.00715877
72000 2.59703 6288.16 0.00707171
72200 2.64164 6289.13 0.00708859
72400 2.58651 6290.29 0.00698769
72600 2.56736 6289.91 0.00697649
72800 2.57697 6287.45 0.0069609
73000 2.65267 6283.73 0.00706984
73200 2.70404 6280.07 0.0071456
73400 2.58682 6275.87 0.00697018
73600 2.67244 6269.62 0.00722968
73800 2.73633 6262.58 0.00730915
74000 2.7104 6256.91 0.00724799
74200 2.83988 6254.56 0.00738586
74400 2.71878 6255.53 0.00727018
74600 2.74917 6257.73 0.00727642
74800 2.63993 6259.22 0.00707765
75000 2.66439 6258.35 0.00714991
75200 2.75218 6255.28 0.00725899
75400 2.72126 6249.86 0.00728458
75600 2.90931 6244.19 0.00756323
75800 2.91598 6240.78 0.0075818
76000 2.87931 6240.25 0.00761512
76200 2.72833 6241.51 0.00732226
76400 2.74511 6241 0.00735904
76600 2.81748 6238.33 0.00752705
76800 2.79693 6234.12 0.00741201
77000 2.87632 6229.12 0.00757825
77200 2.93918 6224.25 0.00769868
77400 2.8464 6219.87 0.00750785
77600 2.88308 6215.74 0.00760438
77800 2.84717 6211.88 0.00748054
78000 2.8078 6207.03 0.00742206
78200 2.76698 6199.31 0.00744978
78400 2.8801 6187.98 0.00766663
78600 3.01495 6175.59 0.00787562
78800 3.1448 6166.32 0.00816915
79000 3.13484 6163.58 0.00807057
79200 3.00796 6166.4 0.00790481
79400 2.89174 6172.69 0.00767652
79600 3.03311 6179.56 0.00793825
79800 2.8605 6186.2 0.00760505
80000 3.01945 6191.23 0.00783313
80200 2.98051 6196.11 0.00777367
80400 2.95894 6199.97 0.00781716
80600 2.93989 6202.49 0.00762627
80800 3.04422 6202.04 0.00780705
81000 2.95259 6198.5 0.00763901
81200 2.84895 6190.52 0.0075469
81400 2.88755 6177.62 0.00758253
81600 3.02042 6160.24 0.00793457
81800 3.17744 6141.55 0.00806157
82000 3.11512 6126.29 0.00814895
82200 3.28547 6115.78 0.0083395
82400 3.23628 6109.71 0.00833732
