# Time-averaged data for fix logger
# TimeStep v_P c_Fobs c_Fsum
53500 29899.3 -8.18789e-16 102.347
54000 34509.1 2.77556e-16 102.292
54500 29064.8 1.77636e-15 98.9965
55000 27874.5 1.60982e-15 105.229
55500 27212.9 -1.66533e-15 100.432
56000 30146.4 -6.66134e-16 105.988
56500 29694.9 -3.10862e-15 111.035
57000 19774.7 1.88738e-15 97.3691
57500 15442.5 -2.88658e-15 103.663
58000 15697.1 8.88178e-16 103.867
58500 19061.6 4.44089e-16 99.5198
59000 20744 -1.38778e-16 101.567
59500 22610.6 3.94129e-15 109.014
60000 23700.2 -2.33147e-15 104.566
60500 32278.6 1.58207e-15 105.552
61000 40328.1 -1.66533e-15 98.6341
61500 31319.8 -2.77556e-16 96.0756
62000 32179.2 1.33227e-15 97.3045
62500 28559.1 -4.44089e-16 104.195
63000 29206.3 1.11022e-16 106.518
63500 28183.7 0 105.622
64000 23632.6 1.38778e-15 98.6789
64500 25734.6 -2.23432e-15 104.805
65000 19552.2 1.55431e-15 98.6215
65500 20672.6 -1.55431e-15 106.394
66000 27741 -3.33067e-16 98.8279
66500 29909.2 -2.88658e-15 109.591
67000 32159.5 -1.30451e-15 101.983
67500 33450.9 -1.55431e-15 101.627
68000 29910.8 -6.66134e-16 102.583
68500 30145.9 0 102.264
69000 31973.4 5.55112e-16 102.575
69500 27931.3 -2.1233e-15 98.9387
70000 25635.2 7.77156e-16 105.161
70500 29869.2 5.55112e-16 99.5035
71000 24283.7 2.63678e-16 104.297
71500 29153.8 1.05471e-15 98.7826
72000 34128.7 1.11022e-15 102.529
72500 29428.1 -1.52656e-15 89.4332
73000 29004.6 8.88178e-16 98.1249
73500 30863.3 5.82867e-16 95.431
74000 27340.4 -7.35523e-16 98.8573
74500 31647.1 4.10783e-15 104.699
75000 33649.6 -7.21645e-16 103.281
75500 28793.9 -2.22045e-16 105.628
76000 30192.4 2.77556e-17 101.78
76500 32181 2.22045e-16 109.656
77000 29942.3 -1.73472e-15 101.307
77500 31684.3 2.22045e-15 106.196
78000 39200.3 -4.21885e-15 102.03
78500 42747.6 -2.66454e-15 99.1117
79000 45343.3 1.55431e-15 105.108
79500 44704.2 0 109.871
80000 42371.7 7.21645e-16 102.555
80500 39757.8 1.88738e-15 101.708
81000 47454.3 1.11022e-15 107.96
81500 44159.8 1.11022e-15 104.322
82000 38906.2 2.22045e-16 103.909
82500 40927.6 1.11022e-15 101.04
83000 34604.4 6.66134e-16 111.153
83500 30702 -1.44329e-15 101.073
84000 26721.9 -1.55431e-15 102.609
84500 25782.5 -2.33147e-15 95.4445
85000 29273.6 2.88658e-15 106.766
85500 33832.6 -3.33067e-16 103.017
86000 37742.3 -4.1217e-15 101.813
86500 32627.5 -9.99201e-16 99.2754
87000 22813.5 -5.55112e-16 103.077
87500 28182 -6.66134e-16 107.037
88000 35274.4 4.44089e-16 105.584
88500 33390.4 -1.38778e-15 105.175
89000 30893.9 1.16573e-15 95.4173
89500 37576.5 -3.9968e-15 101.697
90000 40710.2 8.46545e-16 95.6235
90500 42059.7 1.9984e-15 109.763
91000 39949.9 2.30371e-15 101.921
91500 44598.6 1.4988e-15 101.619
92000 47848.3 -4.71845e-16 102.969
92500 49722.3 4.44089e-16 99.4593
93000 44235.5 1.4988e-15 100.326
93500 44090.1 1.67921e-15 98.4525
94000 45523.8 -9.99201e-16 102.636
94500 41719 1.97065e-15 103.492
95000 39664.1 8.60423e-16 108.895
95500 42199.1 8.04912e-16 100.795
96000 44084.3 6.10623e-16 99.0684
96500 38780.2 7.49401e-16 101.692
97000 37379.5 2.66454e-15 98.8442
97500 40322.6 -2.69229e-15 101.126
98000 41191.3 7.77156e-16 104.206
98500 45879.7 -1.33227e-15 106.965
99000 47421.6 3.19189e-16 104.382
99500 44898.2 4.996e-16 101.085
100000 47681.8 5.55112e-16 105.962
100500 46012.1 9.4369e-16 103.647
101000 46675 -9.99201e-16 104.831
101500 51517.3 8.88178e-16 101
102000 54760 -1.66533e-16 109.797
102500 59716.5 0 93.808
103000 55959.2 9.99201e-16 105.172
103500 56214.3 -4.44089e-16 90.077
104000 57193.6 9.99201e-16 109.715
104500 60306.5 -1.09635e-15 98.1631
105000 64371.9 -7.77156e-16 98.6385
105500 63555 1.66533e-15 104.206
106000 54990.3 2.77556e-17 105.709
106500 54772.4 7.77156e-16 100.179
107000 55499.9 1.11022e-16 107.651
107500 55881.6 -1.88738e-15 103.908
108000 51027.4 8.74301e-16 102.916
108500 46242.2 7.77156e-16 99.3185
109000 48384.1 1.38778e-15 101.829
109500 49685.3 -2.08167e-16 102.973
110000 42755.3 1.11022e-15 100.216
110500 40120.5 -1.9984e-15 106.87
111000 44691.7 2.498e-16 109.185
111500 49804.9 -2.27596e-15 100.388
112000 50865 -1.60982e-15 108.451
112500 47177.6 -4.44089e-16 106.049
113000 47112.4 1.38778e-15 100.513
113500 50626.6 2.22045e-15 103.927
114000 54557.2 7.21645e-16 96.7821
114500 57265.9 -1.26288e-15 110.876
115000 57858.4 2.22045e-15 105.211
115500 54475.8 1.05471e-15 102.042
116000 56750.4 1.27676e-15 102.18
116500 60826 1.11022e-15 103.834
117000 63313 -8.88178e-16 103.556
117500 64061.1 -1.72085e-15 101.535
