# Time-averaged data for fix logger
# TimeStep v_P c_Fsum v_EE
202000 116355 97.9319 148744
202500 105964 109.083 122032
203000 92610.6 106.835 109386
203500 93262.2 112.495 104603
204000 100620 105.222 120295
204500 103199 102.197 126903
205000 103608 101.747 127966
205500 94710.4 101.088 118090
206000 92496.2 104.249 111953
206500 108123 105.154 129019
207000 113678 116.627 122118
207500 103690 108.948 119629
208000 96645.7 108.747 111986
208500 102045 107.627 119263
209000 111848 104.027 134815
209500 116352 104.663 139107
210000 98473.6 111.112 111621
210500 97781.7 99.2574 124091
211000 102186 106.386 120813
211500 113820 110.608 128902
212000 113421 110.597 128505
212500 91450.1 107.517 107341
213000 97740.7 112.568 109381
213500 110980 106.817 130232
214000 112529 100.885 139721
214500 106556 101.94 131253
215000 92135.8 105.932 109799
215500 99391.7 106.804 117159
216000 115446 110.558 130749
216500 114325 109.836 130366
217000 105045 106.243 124218
217500 95171.2 105.448 113749
218000 106657 103.425 129432
218500 122652 114.801 133444
219000 113465 113.317 125433
219500 103900 102.34 127537
220000 101749 102.347 125031
220500 109476 108.717 126320
221000 124055 100.857 153491
221500 116275 111.97 129965
222000 104732 105.08 125203
222500 110271 106.833 129438
223000 113979 101.611 140492
223500 114962 110.921 129814
224000 111578 110.024 127174
224500 113352 97.0192 146383
225000 108405 108.169 125724
225500 117759 100.256 146902
226000 127279 97.8787 162118
226500 115724 103.887 139372
227000 104005 96.1102 135943
227500 114652 100.839 142372
228000 121459 106.29 142757
228500 116666 108.235 134852
229000 114855 108.311 132775
229500 111880 106.032 132225
230000 123156 99.5636 154329
230500 124608 109.68 141771
231000 105455 102.577 129139
231500 111408 102.253 136609
232000 118976 100.211 148422
232500 117540 100.201 146718
233000 107511 102.822 131209
233500 111442 94.7814 147364
234000 123769 105.414 146546
234500 118245 110.066 134373
235000 105333 115.038 115012
235500 116734 104.367 139942
236000 140168 115.09 151239
236500 118567 104.346 142114
237000 111620 109.894 127368
237500 114350 105.673 135583
238000 134881 106.562 157436
238500 117859 112.275 131320
239000 114649 104.615 137195
239500 119124 103.661 143718
240000 124852 103.867 149954
240500 107663 95.5967 141361
241000 110521 102.732 134958
241500 127206 106.776 148552
242000 123548 98.5998 156435
242500 119047 103.934 143205
243000 119400 99.4476 150083
243500 123529 101.296 152246
244000 121946 110.732 137533
244500 125282 106.115 147251
245000 123157 103.873 148005
245500 117365 108.099 135870
246000 118545 108.007 137213
246500 135349 106.991 157239
247000 129178 99.1205 162328
247500 115731 101.305 142952
248000 122136 102.691 148512
248500 125934 102.935 152548
249000 127144 100.189 158180
249500 120358 97.058 154896
250000 112777 101.995 138537
250500 134948 93.498 179380
251000 132806 102.714 160889
251500 121204 100.288 150929
252000 124248 105.84 146495
252500 128273 93.0256 171872
253000 132604 108.409 152258
253500 123144 103.423 148657
254000 119138 108.174 137722
254500 133608 105.489 157524
255000 131804 103.587 158354
255500 114196 106.177 134677
256000 129434 105.051 153461
256500 131905 107.134 153262
257000 129169 97.8182 164534
257500 121567 105.457 143945
258000 136150 110.462 153222
258500 140284 98.4778 176814
259000 117984 107.537 137169
259500 126398 106.336 148201
260000 132101 107.718 152615
