# Time-averaged data for fix logger
# TimeStep c_Fobs c_Fsum c_Tglob
152800 3.2 799350 0.964318
153000 3.2 797496 0.967317
153200 3.2 799530 0.963469
153400 3.2 799147 0.972295
153600 3.2 799433 0.966067
153800 3.2 798337 0.969404
154000 3.2 803054 0.974013
154200 3.2 797013 0.966416
154400 3.2 800420 0.974774
154600 3.2 800976 0.974134
154800 3.2 798244 0.97833
155000 3.2 804558 0.969295
155200 3.2 808570 0.975841
155400 3.2 800828 0.977122
155600 3.2 802929 0.974423
155800 3.2 807642 0.978901
156000 3.2 804105 0.973717
156200 3.2 803252 0.988297
156400 3.2 810609 0.971143
156600 3.2 803719 0.980952
156800 3.2 809421 0.984634
157000 3.2 805457 0.97868
157200 3.2 809752 0.988861
157400 3.2 806188 0.986063
157600 3.2 807187 0.983444
157800 3.2 817873 0.99025
158000 3.2 808570 0.981385
158200 3.2 811772 0.992742
158400 3.2 814960 1.00074
158600 3.2 816375 0.986355
158800 3.2 817915 0.991376
159000 3.2 821574 0.995472
159200 3.2 813347 1.00625
159400 3.2 819176 0.989664
159600 3.2 817740 0.995387
159800 3.2 821674 0.999887
160000 3.2 814681 0.99403
160200 3.2 821557 1.00531
160400 3.2 823760 1.0038
160600 3.2 818480 0.999477
160800 3.2 827737 1.00497
161000 3.2 821446 0.999139
161200 3.2 818885 1.01024
161400 3.2 825558 1.00607
161600 3.2 821413 1.00351
161800 3.2 826899 1.011
162000 3.2 828085 1.00731
162200 3.2 820185 1.01208
162400 3.2 828774 1.01714
162600 3.2 821937 1.01486
162800 3.2 829732 1.01161
163000 3.2 828852 1.01609
163200 3.2 835207 1.01341
163400 3.2 831596 1.02492
163600 3.2 828593 1.01823
163800 3.2 829027 1.01592
164000 3.2 836634 1.02223
164200 3.2 835283 1.01569
164400 3.2 825403 1.02444
164600 3.2 836964 1.02583
164800 3.2 835513 1.0157
165000 3.2 832581 1.024
165200 3.2 833557 1.02557
165400 3.2 828501 1.02613
165600 3.2 837227 1.03624
165800 3.2 832271 1.02802
166000 3.2 836653 1.03999
166200 3.2 838174 1.03171
166400 3.2 835968 1.03057
166600 3.2 839700 1.03579
166800 3.2 836448 1.0303
167000 3.2 842676 1.04071
167200 3.2 839259 1.03241
167400 3.2 835012 1.03832
167600 3.2 844565 1.04263
167800 3.2 846632 1.0449
168000 3.2 846340 1.03207
168200 3.2 847866 1.04096
168400 3.2 841501 1.03274
168600 3.2 843502 1.04462
168800 3.2 845042 1.04493
169000 3.2 838380 1.04116
169200 3.2 850023 1.04964
169400 3.2 842283 1.04807
169600 3.2 842994 1.04492
169800 3.2 845398 1.05839
170000 3.2 841203 1.04825
170200 3.2 844723 1.04599
170400 3.2 852675 1.04957
170600 3.2 851814 1.04498
170800 3.2 852796 1.0577
171000 3.2 859008 1.04824
171200 3.2 849200 1.05659
171400 3.2 859184 1.05391
171600 3.2 860508 1.05338
171800 3.2 853755 1.05593
172000 3.2 849766 1.05944
172200 3.2 848927 1.06649
172400 3.2 854621 1.05908
172600 3.2 849743 1.0573
172800 3.2 860236 1.06074
173000 3.2 857672 1.06524
173200 3.2 857984 1.05904
173400 3.2 864586 1.06611
173600 3.2 860215 1.0602
173800 3.2 864270 1.07396
174000 3.2 856728 1.07173
174200 3.2 857913 1.06833
174400 3.2 864946 1.07814
174600 3.2 858707 1.07162
174800 3.2 859700 1.06614
175000 3.2 858591 1.08187
175200 3.2 867127 1.07281
175400 3.2 863826 1.07715
175600 3.2 872764 1.07523
175800 3.2 867096 1.07639
176000 3.2 863298 1.07881
176200 3.2 868214 1.08706
176400 3.2 858161 1.0813
176600 3.2 864539 1.08402
176800 3.2 866720 1.08261
177000 3.2 869723 1.08128
177200 3.2 864682 1.09154
177400 3.2 869119 1.08647
177600 3.2 868127 1.08849
177800 3.2 870202 1.0903
178000 3.2 873227 1.09801
178200 3.2 873059 1.09715
178400 3.2 871732 1.08464
178600 3.2 873779 1.09576
178800 3.2 877531 1.09013
179000 3.2 869216 1.08571
179200 3.2 872914 1.09716
179400 3.2 875126 1.10347
179600 3.2 871798 1.09065
179800 3.2 877046 1.09993
180000 3.2 873874 1.10441
180200 3.2 874764 1.09766
180400 3.2 876847 1.09632
180600 3.2 881976 1.10236
180800 3.2 875044 1.09955
181000 3.2 877965 1.10779
181200 3.2 884121 1.10256
181400 3.2 879244 1.11763
181600 3.2 878038 1.10231
181800 3.2 886284 1.11218
182000 3.2 880768 1.116
182200 3.2 881092 1.10448
182400 3.2 882771 1.11932
182600 3.2 883439 1.11173
182800 3.2 877819 1.10461
183000 3.2 884944 1.12042
183200 3.2 893023 1.10967
183400 3.2 888804 1.11744
183600 3.2 895755 1.11576
183800 3.2 889909 1.11395
184000 3.2 895593 1.11183
184200 3.2 887096 1.12379
184400 3.2 891405 1.11947
184600 3.2 892245 1.12138
184800 3.2 889654 1.13361
185000 3.2 893978 1.11613
185200 3.2 886593 1.13163
185400 3.2 887670 1.13216
185600 3.2 893745 1.12919
185800 3.2 902883 1.1273
186000 3.2 892782 1.1284
186200 3.2 898516 1.12522
186400 3.2 898424 1.13781
186600 3.2 895436 1.13054
186800 3.2 898809 1.14307
187000 3.2 902715 1.13605
187200 3.2 892446 1.13385
187400 3.2 895820 1.14458
187600 3.2 897142 1.12798
187800 3.2 898922 1.13277
188000 3.2 900113 1.14177
188200 3.2 900805 1.1433
188400 3.2 901689 1.13448
188600 3.2 903570 1.15094
188800 3.2 904514 1.14464
189000 3.2 901121 1.13454
189200 3.2 902621 1.15159
189400 3.2 907373 1.13941
189600 3.2 907355 1.15041
189800 3.2 906835 1.14979
190000 3.2 905548 1.13812
190200 3.2 908288 1.15596
