# Time-averaged data for fix logger
# TimeStep v_P v_Fobs c_Fsum v_EE v_hcp_frac
122000 27669.2 3.57164e+06 57.4985 62117.2 0
122500 28615.7 3.69228e+06 56.0832 65835.8 0
123000 29172.9 3.76325e+06 59.7328 63001.5 0
123500 30290.9 3.90616e+06 56.2375 69458.3 0
124000 30560.4 3.93975e+06 60.1754 65471 0
124500 30952 3.99001e+06 61.5043 64873.7 0
125000 30290.3 3.90561e+06 59.4301 65717.7 0
125500 28968.8 3.73665e+06 63.3365 58996.8 0
126000 28595.4 3.68964e+06 61.116 60371.2 0
126500 28164.7 3.63425e+06 61.8329 58775.4 0
127000 29301.4 3.77933e+06 59.8917 63102.7 0
127500 31342.4 4.03976e+06 61.0015 66223.9 0
128000 33486.6 4.31325e+06 58.2548 74041 0
128500 33929.9 4.36915e+06 59.8213 73036.7 0
129000 33420.3 4.30462e+06 60.1755 71534.4 0
129500 31217.9 4.02413e+06 61.1653 65791 0
130000 27613.4 3.56379e+06 60.6062 58802.4 0
130500 25693.3 3.31884e+06 56.4121 58832.1 0
131000 25748.6 3.32529e+06 61.9392 53686.4 0
131500 29535 3.80946e+06 63.4462 60042.3 0
132000 33892.6 4.36372e+06 59.6225 73189.2 0
132500 38182.3 4.90895e+06 65.9568 74426.7 0
133000 39274.7 5.04692e+06 59.8271 84358.5 0
133500 37344.9 4.80286e+06 57.0003 84260.3 0
134000 32395.7 4.17366e+06 60.697 68762.1 0
134500 27833.4 3.5923e+06 56.5149 63563.8 0
135000 26071.7 3.36718e+06 59.9005 56212.8 0
135500 27504.3 3.55007e+06 58.7368 60440.2 0
136000 31445.5 4.05256e+06 62.2222 65130.4 0
136500 35200.5 4.53041e+06 59.0096 76774.1 0
137000 37916.8 4.87565e+06 61.0745 79831.1 0
137500 37723.7 4.85056e+06 57.695 84072.4 0
138000 35796.9 4.60654e+06 59.5786 77318.7 0
138500 32287.3 4.15961e+06 64.1269 64865.3 0
139000 30551.3 3.93917e+06 58.2709 67601 0
139500 29249.9 3.77296e+06 62.5423 60326.6 0
140000 30399.8 3.91914e+06 59.821 65514.5 0
140500 33548.2 4.32078e+06 60.9902 70843.8 0
141000 36734.6 4.72536e+06 60.2085 78483.4 0
141500 38288.9 4.92211e+06 57.8035 85152.4 0
142000 38133.1 4.90321e+06 60.2865 81331.7 0
142500 35794.3 4.60633e+06 57.2492 80461 0
143000 32949.9 4.24453e+06 57.5346 73773.5 0
143500 31805.7 4.09918e+06 63.8531 64197 0
144000 31510.2 4.06089e+06 59.0898 68724.1 0
144500 33087.2 4.261e+06 62.8298 67818.1 0
145000 36261.6 4.66507e+06 60.4144 77217.9 0
145500 38587.5 4.96031e+06 54.5073 91002.8 0
146000 38770.5 4.98263e+06 61.4357 81103.1 0
146500 37582.1 4.83269e+06 55.7235 86726.1 0
147000 34577.1 4.45134e+06 58.4498 76156.6 0
147500 30989.3 3.99449e+06 55.9843 71350 0
148000 29297 3.77875e+06 60.1675 62803.9 0
148500 30860.8 3.97851e+06 60.9366 65289.3 0
149000 35125.1 4.52027e+06 58.8541 76804.7 0
149500 42361.3 5.43754e+06 62.8039 86579.6 0
150000 46965.9 6.01889e+06 57.6021 104491 0
150500 45716.6 5.86108e+06 59.0056 99330.9 0
151000 39452.7 5.06935e+06 60.3466 84003.9 0
151500 32956.1 4.24525e+06 63.367 66994.6 0
152000 29288 3.77763e+06 62.4922 60449.6 0
152500 29806.1 3.84343e+06 60.1553 63891.8 0
153000 33777.1 4.34973e+06 62.0985 70045.6 0
153500 37634.9 4.83933e+06 57.8598 83639 0
154000 40222.8 5.16645e+06 60.1304 85920.9 0
154500 41136.1 5.28258e+06 58.7717 89883 0
155000 40301.4 5.17739e+06 59.0837 87628.1 0
155500 37847.8 4.86576e+06 59.0178 82445.6 0
156000 36409.6 4.68396e+06 61.4962 76166.6 0
156500 35637.7 4.58646e+06 57.1132 80304.8 0
157000 35271.1 4.53903e+06 62.7866 72293 0
157500 36698 4.72019e+06 56.4976 83546.8 0
158000 39656.7 5.09565e+06 56.7388 89808.8 0
158500 41832.4 5.37086e+06 60.5415 88713.7 0
