# Time-averaged data for fix logger
# TimeStep v_P c_Fobs c_Fsum v_V
70000 1.17083 0.6912 152911 8964.5
70200 1.22655 0.6912 153832 8971.87
70400 1.24442 0.6912 152949 8977.68
70600 1.23389 0.6912 153071 8981.7
70800 1.22117 0.6912 152922 8985.04
71000 1.2035 0.6912 152517 8986.65
71200 1.18256 0.6912 152816 8985.72
71400 1.1787 0.6912 152528 8980.92
71600 1.22077 0.6912 155143 8971.82
71800 1.166 0.6912 151165 8958.6
72000 1.31314 0.6912 155572 8942.11
72200 1.2953 0.6912 157595 8925.76
72400 1.37107 0.6912 157051 8910.93
72600 1.33609 0.6912 154904 8899.5
72800 1.34525 0.6912 155471 8891.94
73000 1.39084 0.6912 158794 8885.97
73200 1.37555 0.6912 158527 8881.46
73400 1.42283 0.6912 160285 8878.85
73600 1.38101 0.6912 155678 8879.96
73800 1.4296 0.6912 160024 8884.81
74000 1.34074 0.6912 158615 8891.25
74200 1.23982 0.6912 154614 8895.36
74400 1.33059 0.6912 156252 8895.69
74600 1.35149 0.6912 157052 8893.87
74800 1.40089 0.6912 160187 8891.82
75000 1.39529 0.6912 157614 8889.43
75200 1.33271 0.6912 157377 8887.29
75400 1.36547 0.6912 158106 8882.86
75600 1.37893 0.6912 158566 8875.87
75800 1.33984 0.6912 156424 8867.18
76000 1.45509 0.6912 160485 8857.11
76200 1.43464 0.6912 158689 8848.63
76400 1.3864 0.6912 155376 8842.89
76600 1.40669 0.6912 158405 8838.8
76800 1.39048 0.6912 158283 8834.49
77000 1.42236 0.6912 158355 8828.56
77200 1.37102 0.6912 156559 8821.09
77400 1.44961 0.6912 159329 8811.4
77600 1.51869 0.6912 161819 8802.1
77800 1.44992 0.6912 159876 8795.12
78000 1.43186 0.6912 156732 8789.3
78200 1.5091 0.6912 160480 8784.08
78400 1.54651 0.6912 160853 8779.83
78600 1.50323 0.6912 159719 8778.34
78800 1.59308 0.6912 160942 8780.83
79000 1.459 0.6912 158682 8787.48
79200 1.4107 0.6912 159040 8792.93
79400 1.44779 0.6912 159283 8793.74
79600 1.44017 0.6912 156976 8792.16
79800 1.50232 0.6912 160265 8789.49
80000 1.49792 0.6912 160045 8787.59
80200 1.46723 0.6912 158869 8785.66
80400 1.46877 0.6912 160558 8781.29
80600 1.41427 0.6912 156615 8772.98
80800 1.47272 0.6912 158679 8761.41
81000 1.5494 0.6912 161370 8748.86
81200 1.62352 0.6912 162857 8737.73
81400 1.5456 0.6912 161888 8730.31
81600 1.50318 0.6912 158540 8724.65
81800 1.50124 0.6912 159161 8720.21
82000 1.52997 0.6912 159786 8716.45
82200 1.62117 0.6912 163148 8712.8
82400 1.60825 0.6912 159812 8711.32
82600 1.65776 0.6912 164788 8713.84
82800 1.50887 0.6912 160304 8719.39
83000 1.51463 0.6912 159770 8724.11
83200 1.45371 0.6912 156591 8725.91
83400 1.48663 0.6912 160572 8723.2
83600 1.56251 0.6912 161656 8717.37
83800 1.71619 0.6912 166174 8710.7
84000 1.66187 0.6912 163655 8705.57
84200 1.6473 0.6912 164376 8701.96
84400 1.57699 0.6912 161729 8698.87
84600 1.51738 0.6912 160398 8694.81
84800 1.56319 0.6912 161298 8688.74
85000 1.62197 0.6912 163738 8680.59
85200 1.60068 0.6912 162299 8669.46
85400 1.58054 0.6912 162248 8656.11
85600 1.72539 0.6912 164874 8642.01
85800 1.78727 0.6912 166022 8631.69
86000 1.71856 0.6912 165109 8628.8
86200 1.71932 0.6912 164864 8630.91
86400 1.71585 0.6912 162674 8635.08
86600 1.58833 0.6912 161601 8640.48
86800 1.61222 0.6912 162659 8644.06
87000 1.71498 0.6912 163857 8646.83
87200 1.719 0.6912 164439 8651.73
87400 1.71585 0.6912 164364 8658.39
87600 1.68378 0.6912 163889 8667
87800 1.69795 0.6912 164657 8675.97
88000 1.56605 0.6912 162926 8682.09
88200 1.49807 0.6912 158839 8680.94
88400 1.67617 0.6912 163643 8673.01
88600 1.72305 0.6912 163498 8661.89
88800 1.70476 0.6912 164875 8651.03
89000 1.71388 0.6912 163527 8640.12
89200 1.71692 0.6912 163662 8628.67
89400 1.74399 0.6912 164452 8616.71
89600 1.73727 0.6912 164925 8605.18
89800 1.80125 0.6912 166483 8594.59
90000 1.76537 0.6912 164198 8586.58
90200 1.78882 0.6912 165977 8580.99
90400 1.72551 0.6912 164266 8577.27
90600 1.73689 0.6912 167607 8573.47
90800 1.77372 0.6912 165742 8568.3
91000 1.86628 0.6912 166127 8564.35
91200 1.82621 0.6912 166599 8562.95
91400 1.80482 0.6912 166386 8561.77
91600 1.87585 0.6912 167364 8559.27
91800 1.84283 0.6912 167710 8557.48
92000 1.86961 0.6912 168959 8556.82
92200 1.84007 0.6912 164292 8558.13
92400 1.73767 0.6912 164357 8561.96
92600 1.70272 0.6912 163975 8565.11
92800 1.7715 0.6912 165657 8564.61
93000 1.79545 0.6912 164669 8560.74
93200 1.88653 0.6912 167117 8555.48
93400 1.90591 0.6912 168636 8551.04
93600 1.83667 0.6912 166193 8546.88
93800 1.78357 0.6912 165083 8541.48
94000 1.85229 0.6912 167710 8534.93
94200 1.77368 0.6912 165590 8527.83
94400 1.87308 0.6912 167817 8519.79
94600 1.98331 0.6912 170779 8513.36
94800 1.8159 0.6912 165591 8510.91
95000 1.90119 0.6912 167594 8510.85
95200 1.94231 0.6912 166483 8511.43
95400 1.93011 0.6912 167087 8512.1
95600 2.00071 0.6912 170110 8512.68
95800 1.93947 0.6912 168395 8514.78
96000 1.89534 0.6912 166859 8518.24
96200 1.9071 0.6912 167751 8521.85
96400 1.8576 0.6912 167006 8524.34
96600 1.89345 0.6912 168747 8524.01
96800 1.95799 0.6912 168743 8522.01
97000 1.89464 0.6912 166928 8519.64
97200 1.99706 0.6912 170274 8515.87
97400 1.91785 0.6912 171486 8512.14
97600 1.88557 0.6912 167388 8506.97
97800 1.93016 0.6912 167779 8499.24
98000 1.84923 0.6912 165512 8490.13
98200 1.96866 0.6912 170314 8480.23
98400 2.01499 0.6912 171181 8470.63
98600 1.91718 0.6912 166478 8463.02
98800 2.00922 0.6912 169212 8456.31
99000 1.99625 0.6912 167474 8450.52
99200 2.01919 0.6912 170447 8445.73
99400 2.07802 0.6912 170699 8442.11
99600 2.00174 0.6912 169310 8441.99
99800 2.07847 0.6912 170831 8444.68
100000 2.0009 0.6912 169835 8450.76
100200 1.92349 0.6912 168490 8458.13
100400 1.90013 0.6912 167392 8463.17
100600 1.93861 0.6912 168088 8464.13
100800 2.01508 0.6912 167786 8462.56
101000 2.06595 0.6912 171245 8461.22
101200 1.99385 0.6912 169708 8461.2
101400 1.93406 0.6912 167388 8460
101600 1.96392 0.6912 168206 8457
101800 1.99552 0.6912 167921 8451.23
102000 2.00477 0.6912 169720 8442.97
102200 2.02185 0.6912 169617 8433.26
102400 2.00396 0.6912 168860 8422.94
102600 2.03875 0.6912 170247 8411.85
102800 1.99586 0.6912 168376 8399.34
103000 2.13428 0.6912 172237 8385.19
103200 2.16797 0.6912 170846 8373.78
103400 2.25848 0.6912 175560 8369.36
103600 2.25027 0.6912 173206 8372.85
103800 2.16742 0.6912 173167 8384.41
104000 2.10829 0.6912 170525 8399.21
104200 2.05063 0.6912 169355 8414.3
104400 2.08779 0.6912 173925 8426.67
104600 2.04198 0.6912 169700 8435.01
104800 2.08941 0.6912 172017 8440.27
105000 2.07092 0.6912 171689 8442.64
105200 2.0806 0.6912 170268 8441.76
105400 2.02904 0.6912 169397 8436.96
105600 1.94045 0.6912 168430 8426.72
105800 2.13994 0.6912 172315 8410.82
106000 2.20012 0.6912 174390 8394.32
106200 2.24206 0.6912 175862 8380.44
106400 2.16927 0.6912 170762 8369.91
106600 2.23481 0.6912 175000 8361.41
106800 2.14541 0.6912 171345 8354.35
107000 2.20619 0.6912 173643 8346.91
107200 2.16691 0.6912 171774 8340.16
107400 2.2197 0.6912 173425 8333.91
107600 2.32035 0.6912 176507 8328.98
107800 2.33417 0.6912 175452 8328.46
108000 2.2805 0.6912 172687 8333.77
108200 2.18646 0.6912 171423 8343.53
108400 2.18139 0.6912 172627 8353.74
108600 2.11889 0.6912 171138 8360.5
108800 2.13319 0.6912 171290 8362.83
109000 2.20562 0.6912 173712 8361.15
109200 2.21706 0.6912 174319 8355.98
109400 2.21318 0.6912 173431 8348.88
109600 2.11079 0.6912 171117 8341.52
109800 2.23573 0.6912 175089 8333.48
110000 2.29205 0.6912 174460 8325.19
110200 2.23659 0.6912 171957 8317.09
110400 2.20866 0.6912 171159 8307.81
110600 2.3039 0.6912 174959 8299.41
110800 2.45344 0.6912 177741 8295.76
111000 2.37944 0.6912 176405 8299.57
111200 2.29558 0.6912 173317 8307.32
111400 2.27934 0.6912 173678 8314.9
111600 2.25173 0.6912 173737 8321.31
111800 2.26787 0.6912 174093 8326.19
112000 2.2888 0.6912 176321 8330.8
112200 2.30279 0.6912 175339 8335.17
112400 2.28969 0.6912 175999 8336.86
112600 2.17622 0.6912 172466 8334.6
112800 2.15559 0.6912 171954 8326.46
113000 2.32659 0.6912 175667 8312.37
113200 2.47004 0.6912 176306 8297.08
113400 2.41547 0.6912 176584 8287.59
113600 2.44661 0.6912 179047 8282.56
113800 2.41927 0.6912 178290 8281.09
114000 2.38602 0.6912 176318 8281.77
114200 2.41498 0.6912 176613 8282.62
114400 2.21928 0.6912 170825 8283.35
114600 2.36044 0.6912 174302 8282.67
114800 2.46556 0.6912 176759 8281.83
115000 2.41687 0.6912 178298 8283.33
115200 2.38851 0.6912 175787 8286.13
115400 2.32808 0.6912 175924 8287.09
115600 2.36941 0.6912 177222 8283.27
115800 2.39558 0.6912 173689 8275.67
116000 2.46723 0.6912 178157 8267.92
116200 2.51676 0.6912 178863 8261.64
116400 2.39217 0.6912 175937 8257.41
116600 2.36307 0.6912 175325 8252.6
116800 2.34391 0.6912 173894 8247.11
117000 2.49396 0.6912 176779 8241.26
117200 2.52773 0.6912 177272 8237.72
117400 2.53563 0.6912 179031 8238.4
117600 2.51641 0.6912 175375 8243.76
117800 2.39068 0.6912 176037 8252.22
118000 2.27444 0.6912 174275 8258.87
118200 2.30658 0.6912 172103 8259.26
118400 2.46726 0.6912 176292 8255.04
118600 2.55869 0.6912 178646 8250.08
118800 2.52366 0.6912 179567 8246.57
119000 2.36257 0.6912 174474 8244.7
119200 2.5061 0.6912 176183 8241.07
119400 2.37483 0.6912 173974 8237.47
119600 2.46003 0.6912 175379 8232.55
119800 2.428 0.6912 175782 8226.88
120000 2.41651 0.6912 177811 8218.49
120200 2.5033 0.6912 176350 8206.67
120400 2.55991 0.6912 177038 8193.98
120600 2.56733 0.6912 177654 8183.5
120800 2.64927 0.6912 177793 8177.93
121000 2.59567 0.6912 179606 8179.1
121200 2.57828 0.6912 179065 8184.52
121400 2.54198 0.6912 178874 8191.7
121600 2.4689 0.6912 176389 8198.51
121800 2.47526 0.6912 174665 8204.09
122000 2.57779 0.6912 178183 8208.28
122200 2.53449 0.6912 176321 8213.3
122400 2.46186 0.6912 174600 8218.93
122600 2.49017 0.6912 177388 8223.14
122800 2.47904 0.6912 174381 8224.32
123000 2.53262 0.6912 177770 8221.99
123200 2.53405 0.6912 178945 8216.25
123400 2.55613 0.6912 178491 8206.95
123600 2.57661 0.6912 178173 8195.66
123800 2.68845 0.6912 181545 8184.46
124000 2.57639 0.6912 177193 8175.16
124200 2.62597 0.6912 180695 8165.82
124400 2.69936 0.6912 181700 8156.67
124600 2.69506 0.6912 180739 8149.67
124800 2.76003 0.6912 181580 8146.31
125000 2.72176 0.6912 180188 8147.35
125200 2.78811 0.6912 182268 8152.24
125400 2.61652 0.6912 179977 8161.28
125600 2.51458 0.6912 177583 8169.69
125800 2.53415 0.6912 177130 8173.37
126000 2.54551 0.6912 177829 8172.29
126200 2.76976 0.6912 183616 8168.51
126400 2.59957 0.6912 176561 8166.23
126600 2.67064 0.6912 178685 8165.56
126800 2.54213 0.6912 177019 8165.03
127000 2.60331 0.6912 179028 8162.28
127200 2.71105 0.6912 180124 8158.14
127400 2.76534 0.6912 184353 8153.15
127600 2.60121 0.6912 180048 8147.85
127800 2.58502 0.6912 178259 8140.78
128000 2.71052 0.6912 179862 8130.61
128200 2.76461 0.6912 180292 8120.2
128400 2.86499 0.6912 183698 8112.56
128600 2.81523 0.6912 181271 8109.58
128800 2.79997 0.6912 182228 8110.49
129000 2.70278 0.6912 179578 8113.57
129200 2.69885 0.6912 177919 8116.78
129400 2.8119 0.6912 180641 8118.92
129600 2.77958 0.6912 183855 8122.58
129800 2.73316 0.6912 179607 8127.88
130000 2.63483 0.6912 178161 8133.3
130200 2.5234 0.6912 176040 8135.27
130400 2.65065 0.6912 179989 8130.84
130600 2.78054 0.6912 182632 8121.88
130800 2.73055 0.6912 179948 8111.79
131000 2.86715 0.6912 184705 8104.02
131200 2.86727 0.6912 184889 8099.99
131400 2.7793 0.6912 181389 8099.58
131600 2.77163 0.6912 180880 8101.57
131800 2.75807 0.6912 182572 8104.82
132000 2.68824 0.6912 179635 8105.79
132200 2.66421 0.6912 177632 8102.37
132400 2.716 0.6912 179663 8093.86
132600 2.79637 0.6912 180956 8081.32
132800 2.87869 0.6912 184104 8069.27
133000 2.99841 0.6912 185116 8061.02
133200 2.90863 0.6912 183579 8059.73
133400 2.89787 0.6912 184942 8063.19
133600 2.76759 0.6912 179330 8068.18
133800 2.78157 0.6912 181708 8072.28
134000 2.82969 0.6912 182137 8074.82
134200 2.93251 0.6912 182312 8077.3
134400 2.8193 0.6912 182347 8080.79
134600 2.80598 0.6912 180766 8083.12
134800 2.81573 0.6912 181956 8083.79
135000 2.77094 0.6912 181951 8082.22
135200 2.83407 0.6912 182153 8077.34
135400 2.93585 0.6912 184534 8070.59
135600 2.94541 0.6912 189315 8064.96
135800 2.9415 0.6912 184484 8061.1
136000 2.93445 0.6912 183112 8059.47
136200 2.86913 0.6912 181064 8058.36
136400 2.86571 0.6912 183586 8056.4
136600 2.94722 0.6912 183327 8053
136800 2.97524 0.6912 184389 8049.81
137000 3.02079 0.6912 185608 8048.52
137200 3.0391 0.6912 185435 8050.68
137400 2.90669 0.6912 183113 8056.07
137600 2.88408 0.6912 184249 8060.51
137800 2.83878 0.6912 181708 8061.04
138000 2.76392 0.6912 179351 8057.4
138200 2.96408 0.6912 185515 8050.52
138400 2.97338 0.6912 183450 8043.47
138600 2.95026 0.6912 183151 8036.83
138800 3.01105 0.6912 185658 8031.15
139000 3.00369 0.6912 183072 8027.16
139200 2.96846 0.6912 184305 8024.55
139400 2.97451 0.6912 183982 8022.75
139600 3.04803 0.6912 188433 8021.71
139800 2.99166 0.6912 184372 8020.68
140000 2.9738 0.6912 184310 8019.52
